time,pm1.0,pm2.5,pm10
10.059616088867188,211,2517,5338
10.739961862564087,214,2502,5309
11.420297861099243,214,2502,5336
12.265839338302612,214,2502,5336
13.111456871032715,214,2502,5336
13.794711828231812,213,2479,5348
14.640397310256958,213,2479,5348
15.485985279083252,213,2479,5348
16.16356921195984,213,2465,5374
17.00925302505493,213,2465,5374
17.854787588119507,213,2465,5374
18.536062479019165,212,2455,5289
19.38165783882141,212,2455,5289
20.227319717407227,212,2455,5289
20.902220249176025,213,2472,5298
21.747740745544434,213,2472,5298
22.593425273895264,213,2472,5298
23.27260184288025,216,2457,5296
24.118192672729492,216,2457,5296
24.963905572891235,216,2457,5296
25.64173674583435,213,2453,5309
26.48730731010437,213,2453,5309
27.33293581008911,213,2453,5309
28.013286113739014,215,2466,5302
28.858853578567505,215,2466,5302
29.704328298568726,215,2466,5302
30.38057017326355,220,2466,5292
31.226102828979492,220,2475,5313
32.07173538208008,220,2475,5313
32.751168966293335,217,2496,5325
33.59670567512512,217,2496,5325
34.44241762161255,216,2482,5293
35.12385654449463,215,2495,5267
35.969313859939575,215,2495,5267
36.81479287147522,215,2495,5267
37.521302223205566,218,2477,5230
38.36689209938049,218,2477,5230
39.212292432785034,218,2477,5230
39.89340257644653,215,2484,5216
40.739057779312134,215,2484,5216
41.58471059799194,215,2484,5216
42.26719617843628,216,2490,5196
43.11270070075989,216,2490,5196
43.95825910568237,216,2490,5196
44.63917779922485,217,2472,5171
45.484819173812866,217,2472,5171
46.33030843734741,216,2467,5160
47.01412558555603,213,2473,5142
47.85968637466431,213,2473,5142
48.70517563819885,213,2473,5142
49.38541841506958,217,2452,5139
50.23098707199097,217,2452,5139
51.07637023925781,217,2452,5139
51.753506898880005,216,2449,5138
52.599029779434204,216,2449,5138
53.44468641281128,216,2449,5138
54.12277936935425,214,2442,5109
54.96838045120239,214,2442,5109
55.81393480300903,214,2442,5109
56.518473625183105,215,2425,5063
57.36401152610779,215,2425,5063
58.20954990386963,215,2425,5063
58.88344216346741,216,2429,5063
59.7290723323822,216,2429,5063
60.57447052001953,216,2429,5063
61.250518560409546,219,2446,5092
62.095906019210815,219,2446,5092
62.94151854515076,219,2446,5092
63.62305450439453,221,2449,5083
64.46872973442078,222,2454,5094
65.31423997879028,222,2454,5094
65.9928469657898,222,2443,5098
66.83838725090027,222,2443,5098
67.68403339385986,222,2443,5098
68.36536526679993,222,2430,5087
69.21095252037048,222,2430,5087
70.05648803710938,221,2425,5076
70.73694229125977,222,2434,5051
71.58249354362488,222,2434,5051
72.42798972129822,222,2434,5051
73.10778856277466,217,2413,4975
73.95340275764465,217,2413,4975
74.79889726638794,217,2413,4975
75.47880530357361,218,2412,4904
76.32432985305786,226,2500,5084
77.16990518569946,226,2500,5084
77.85011053085327,228,2495,5048
78.69556760787964,228,2495,5048
79.54113698005676,223,2441,4938
80.22105813026428,225,2445,4934
81.06670570373535,225,2445,4934
81.91221475601196,225,2445,4934
82.59077644348145,228,2439,4897
83.43629717826843,228,2439,4897
84.28185415267944,228,2439,4897
84.96083402633667,226,2445,4885
85.8064136505127,226,2440,4875
86.65187406539917,226,2440,4875
87.33357357978821,227,2431,4863
88.17922353744507,228,2441,4883
89.0246787071228,228,2441,4883
89.7284529209137,228,2429,4897
90.57406258583069,228,2429,4897
91.41956663131714,228,2429,4897
92.09799242019653,230,2420,4877
92.94349455833435,230,2420,4877
93.78881549835205,230,2420,4877
94.49407482147217,233,2397,4867
95.33947777748108,233,2397,4867
96.1850037574768,233,2397,4867
96.8650062084198,236,2391,4821
97.71050763130188,236,2391,4821
98.55609607696533,236,2391,4821
99.23600554466248,238,2379,4833
