time,pm1.0,pm2.5,pm10
0.7057912349700928,209,1686,2964
1.4242944717407227,211,1689,2978
2.1368367671966553,209,1659,2928
2.8507864475250244,210,1665,2898
3.5650582313537598,210,1691,2902
4.274240493774414,206,1649,2820
5.119884014129639,206,1649,2820
5.965450763702393,206,1649,2820
6.670521974563599,216,1702,2891
7.382526874542236,223,1707,2921
8.092244386672974,234,1743,2984
8.807390689849854,242,1778,3088
9.520929098129272,255,1787,3102
10.226690769195557,266,1808,3139
10.943310976028442,276,1851,3210
11.657721042633057,288,1872,3255
12.365397691726685,300,1902,3304
13.076190948486328,307,1936,3359
13.785927772521973,311,1913,3345
14.497960329055786,309,1909,3294
15.21018671989441,312,1895,3276
16.05580163002014,312,1895,3276
16.901429653167725,312,1895,3276
17.608932971954346,319,1898,3228
18.45451855659485,319,1898,3228
19.30018973350525,319,1898,3228
20.00827932357788,318,1896,3221
20.853928327560425,318,1896,3221
21.69966721534729,318,1896,3221
22.41586947441101,322,1853,3199
23.26139211654663,322,1853,3199
24.106926441192627,322,1853,3199
24.82898187637329,327,1814,3102
25.674528121948242,327,1814,3102
26.520221710205078,327,1814,3102
27.244231700897217,329,1783,3030
28.08993124961853,329,1783,3030
28.935470819473267,329,1783,3030
29.661046028137207,329,1740,2950
30.50656795501709,329,1740,2950
31.35207962989807,329,1740,2950
32.06972885131836,339,1692,2845
32.915337324142456,339,1692,2845
33.761072635650635,339,1692,2845
34.508941650390625,339,1656,2749
35.35452175140381,339,1656,2749
36.2000937461853,339,1656,2749
36.92716431617737,344,1625,2670
37.77270221710205,344,1625,2670
38.61832642555237,344,1625,2670
39.371270418167114,345,1578,2565
40.21676850318909,345,1578,2565
41.062312841415405,345,1578,2565
41.819440603256226,342,1519,2459
42.665096044540405,342,1519,2459
43.51061534881592,342,1519,2459
44.25986695289612,349,1461,2335
45.105570793151855,349,1461,2335
45.95105743408203,349,1461,2335
46.70871448516846,348,1422,2212
47.55422258377075,348,1422,2212
48.39967155456543,348,1422,2212
49.1660590171814,349,1373,2127
50.01155161857605,349,1373,2127
50.85718822479248,349,1373,2127
51.62500333786011,350,1335,2057
52.47059226036072,350,1335,2057
53.31641435623169,350,1335,2057
54.117433309555054,351,1284,1979
54.96323561668396,351,1284,1979
55.80881953239441,351,1284,1979
56.615195512771606,341,1231,1875
57.46070432662964,341,1231,1875
58.30641269683838,341,1231,1875
59.10361576080322,340,1189,1774
59.949318170547485,340,1189,1774
60.7948055267334,340,1189,1774
61.603928089141846,337,1130,1702
62.44946765899658,337,1130,1702
63.294901847839355,337,1130,1702
64.13257503509521,334,1076,1605
64.97071266174316,328,1031,1542
65.77786898612976,322,992,1479
66.62242722511292,315,959,1409
67.46295142173767,308,937,1360
