time,pm2.5,pm10
0.5539669990539551,580.1,1999.9
1.5551302433013916,585.5,1999.9
2.555894613265991,591.1,1999.9
3.556751012802124,596.7,1999.9
4.557469129562378,599.1,1999.9
5.558307647705078,603.6,1999.9
6.558777809143066,607.7,1999.9
7.55950665473938,613.4,1999.9
8.5602388381958,619.8,1999.9
9.560957670211792,623.8,1999.9
10.561508178710938,627.1,1999.9
11.562262296676636,630.6,1999.9
12.562849044799805,636.6,1999.9
13.563366413116455,639.5,1999.9
14.564131259918213,642.6,1999.9
15.56465220451355,646.0,1999.9
16.565208196640015,651.4,1999.9
17.565950632095337,651.9,1999.9
18.56654405593872,656.3,1999.9
19.56724238395691,657.1,1999.9
20.56782031059265,661.5,1999.9
21.56856346130371,665.6,1999.9
22.56927251815796,668.9,1999.9
23.570008277893066,672.9,1999.9
24.57072401046753,675.5,1999.9
25.57129693031311,679.3,1999.9
26.572026252746582,682.7,1999.9
27.572709798812866,687.1,1999.9
28.573442459106445,691.9,1999.9
29.574029207229614,695.8,1999.9
30.57477903366089,698.8,1999.9
31.575305461883545,702.1,1999.9
32.57620429992676,706.5,1999.9
33.57675528526306,709.5,1999.9
34.57753586769104,712.5,1999.9
35.57830047607422,715.0,1999.9
36.57877802848816,716.9,1999.9
37.57948088645935,719.0,1999.9
38.580198764801025,721.4,1999.9
39.580761194229126,724.5,1999.9
40.581477642059326,729.4,1999.9
41.58226466178894,731.7,1999.9
42.58280563354492,733.8,1999.9
43.5835542678833,736.7,1999.9
44.58425307273865,741.5,1999.9
45.585020542144775,744.8,1999.9
46.58573913574219,748.2,1999.9
47.586443185806274,751.8,1999.9
48.58703112602234,753.1,1999.9
49.5877628326416,756.2,1999.9
50.58851861953735,758.6,1999.9
51.589203119277954,761.3,1999.9
52.58991551399231,763.8,1999.9
53.59055781364441,767.6,1999.9
54.59121489524841,770.7,1999.9
55.591989517211914,773.3,1999.9
56.592649698257446,775.1,1999.9
57.59326529502869,777.3,1999.9
58.59395217895508,778.5,1999.9
59.594889640808105,780.7,1999.9
60.595675468444824,783.5,1999.9
61.59633421897888,785.5,1999.9
62.59725546836853,787.3,1999.9
63.59800672531128,788.8,1999.9
64.59868383407593,792.8,1999.9
65.59897255897522,795.3,1999.9
66.60014772415161,797.6,1999.9
67.60088276863098,799.2,1999.9
68.6016173362732,802.0,1999.9
69.6023440361023,803.6,1999.9
70.6030330657959,805.4,1999.9
71.60374569892883,807.1,1999.9
72.60451436042786,808.5,1999.9
73.60524344444275,810.7,1999.9
74.60602188110352,812.9,1999.9
75.60648512840271,814.3,1999.9
76.6048035621643,814.8,1999.9
77.60323214530945,815.6,1999.9
78.60248351097107,818.0,1999.9
79.60101842880249,819.6,1999.9
80.59953284263611,820.4,1999.9
81.59832882881165,821.5,1999.9
82.59695386886597,822.8,1999.9
83.59576416015625,822.0,1999.9
84.59452390670776,823.2,1999.9
85.59344601631165,824.3,1999.9
86.59248113632202,827.5,1999.9
87.59159851074219,830.5,1999.9
88.59065914154053,832.5,1999.9
89.59021830558777,835.2,1999.9
90.58956217765808,836.5,1999.9
91.58895492553711,838.1,1999.9
92.58853530883789,839.4,1999.9
93.58828449249268,842.2,1999.9
94.58777236938477,842.5,1999.9
95.58776473999023,843.6,1999.9
96.58747172355652,845.7,1999.9
97.58738613128662,847.5,1999.9
98.58725476264954,848.5,1999.9
99.58733415603638,849.7,1999.9
100.5872757434845,850.6,1999.9
101.58735203742981,854.0,1999.9
102.5872654914856,855.8,1999.9
103.58746647834778,857.9,1999.9
104.58754229545593,859.9,1999.9
105.58765530586243,862.1,1999.9
106.58773183822632,863.7,1999.9
107.58784675598145,866.6,1999.9
108.58804965019226,866.4,1999.9
109.58823823928833,868.7,1999.9
110.58865094184875,869.4,1999.9
111.58873438835144,870.8,1999.9
112.58894205093384,872.6,1999.9
113.58916139602661,874.2,1999.9
114.58940196037292,875.1,1999.9
115.5897171497345,875.9,1999.9
116.5901198387146,876.3,1999.9
117.59022450447083,876.2,1999.9
118.59050011634827,878.7,1999.9
119.59083437919617,879.5,1999.9
120.59110021591187,881.0,1999.9
121.5914077758789,882.7,1999.9
122.5917420387268,882.5,1999.9
123.59198188781738,883.1,1999.9
124.59241127967834,883.9,1999.9
125.59275531768799,884.8,1999.9
126.59293222427368,886.3,1999.9
127.5931191444397,888.4,1999.9
128.59352135658264,889.2,1999.9
129.59350442886353,891.1,1999.9
130.59389448165894,892.1,1999.9
131.594078540802,892.1,1999.9
132.59429049491882,893.9,1999.9
133.59450769424438,894.7,1999.9
134.594890832901,894.2,1999.9
135.59528517723083,895.0,1999.9
136.59568428993225,896.6,1999.9
137.59606790542603,897.7,1999.9
138.59632444381714,899.7,1999.9
139.59664583206177,900.2,1999.9
140.59790062904358,902.7,1999.9
141.5988028049469,903.8,1999.9
142.59972667694092,904.0,1999.9
143.60051918029785,905.8,1999.9
144.60140895843506,907.5,1999.9
145.60215497016907,910.0,1999.9
146.60304164886475,910.6,1999.9
147.6037561893463,913.0,1999.9
148.604665517807,914.2,1999.9
149.60545945167542,916.0,1999.9
150.60630655288696,917.4,1999.9
151.60716080665588,916.9,1999.9
152.60799717903137,917.9,1999.9
153.6087999343872,918.1,1999.9
154.60945916175842,919.1,1999.9
155.61022806167603,920.3,1999.9
156.61098718643188,919.8,1999.9
157.61199355125427,919.8,1999.9
158.61271476745605,920.9,1999.9
159.61349749565125,920.8,1999.9
160.61423802375793,922.5,1999.9
161.61496877670288,923.4,1999.9
162.6156997680664,923.7,1999.9
163.6162931919098,925.6,1999.9
