time,pm1.0,pm2.5,pm10
0.678142786026001,132,2130,5165
1.3532018661499023,134,2141,5133
2.0363354682922363,131,2153,5202
2.718729257583618,128,2134,5225
3.3967339992523193,122,2135,5172
4.071475505828857,125,2167,5180
4.9171202182769775,123,2126,5083
5.76257061958313,123,2126,5083
6.437771558761597,131,2196,5214
7.2833287715911865,131,2196,5214
8.128777742385864,127,2129,5055
8.801602125167847,133,2212,5302
9.647235870361328,133,2212,5302
10.493017673492432,132,2185,5238
11.166579246520996,143,2236,5323
12.012181520462036,143,2236,5323
12.85774302482605,143,2236,5323
13.562041521072388,147,2260,5348
14.407573461532593,147,2260,5348
15.253208637237549,147,2260,5348
15.934389114379883,158,2309,5309
16.77978229522705,158,2309,5309
17.62539052963257,158,2309,5309
18.30753469467163,166,2325,5269
19.153117179870605,166,2325,5269
19.998750686645508,166,2325,5269
20.676294326782227,178,2381,5314
21.521846771240234,178,2381,5314
22.367615699768066,178,2381,5314
23.04908561706543,192,2415,5261
23.894574880599976,192,2415,5261
24.740278482437134,192,2415,5261
25.44494891166687,203,2390,5171
26.290546417236328,203,2390,5171
27.136089324951172,203,2390,5171
27.81859517097473,220,2379,5076
28.664284229278564,227,2451,5230
29.509705543518066,227,2451,5230
30.22050952911377,235,2386,4980
31.066168069839478,235,2386,4980
31.911718606948853,231,2344,4891
32.62030816078186,243,2273,4574
33.46590065956116,243,2273,4574
34.31136226654053,243,2273,4574
35.021111249923706,251,2220,4329
35.86678123474121,251,2220,4329
36.712382555007935,251,2220,4329
37.433483600616455,256,2134,4036
38.27901554107666,256,2134,4036
39.124698877334595,256,2134,4036
39.83923602104187,265,2063,3822
40.68498134613037,274,2130,3946
41.53051042556763,274,2130,3946
42.242002964019775,283,2078,3809
43.087546586990356,283,2078,3809
43.93306875228882,278,2037,3734
44.64538097381592,290,1958,3519
45.49100613594055,290,1958,3519
46.33648729324341,290,1958,3519
47.056788206100464,300,1881,3323
47.902381896972656,300,1881,3323
48.747833490371704,300,1881,3323
49.466047048568726,311,1839,3134
50.311604261398315,311,1839,3134
51.15707755088806,311,1839,3134
51.88152527809143,316,1787,3021
52.72706365585327,316,1787,3021
53.572776317596436,316,1787,3021
54.294424533843994,324,1736,2890
55.140082120895386,324,1736,2890
55.98557209968567,324,1736,2890
56.73374104499817,330,1670,2706
57.57937026023865,330,1670,2706
58.42489743232727,330,1670,2706
59.18380546569824,331,1596,2597
60.02941703796387,331,1596,2597
60.87498116493225,331,1596,2597
61.633383989334106,337,1539,2464
62.47884130477905,337,1539,2464
63.32446622848511,337,1539,2464
64.08544588088989,341,1476,2358
64.93111419677734,341,1476,2358
65.77659177780151,341,1476,2358
66.53502893447876,346,1415,2205
67.3807144165039,346,1415,2205
68.22614526748657,346,1415,2205
68.98911786079407,348,1359,2072
69.8347601890564,348,1359,2072
70.68025040626526,348,1359,2072
71.4481098651886,345,1312,1978
72.29376983642578,345,1312,1978
73.13930177688599,345,1312,1978
73.93789720535278,344,1243,1877
74.78347063064575,344,1243,1877
75.62898302078247,344,1243,1877
76.43262600898743,337,1151,1723
77.27823495864868,337,1151,1723
78.12389540672302,337,1151,1723
78.96192646026611,331,1088,1634
79.80757331848145,342,1124,1687
80.65323829650879,342,1124,1687
81.49540591239929,338,1075,1601
82.34098267555237,338,1075,1601
83.18674755096436,330,1049,1563
84.03105592727661,326,995,1461
84.87678933143616,326,995,1461
85.72239065170288,330,1009,1481
86.61073303222656,322,953,1391
87.45636916160583,322,953,1391
88.30205655097961,322,953,1391
89.19685339927673,310,894,1282
90.042551279068,310,894,1282
90.88807773590088,310,894,1282
91.81625366210938,301,842,1218
92.66191172599792,301,842,1218
93.50760221481323,301,842,1218
94.43462681770325,281,772,1116
95.28030276298523,281,772,1116
96.12595248222351,281,772,1116
97.05187106132507,269,718,1021
97.89752149581909,279,743,1056
98.74314498901367,279,743,1056
99.66910171508789,266,691,976
100.51483678817749,262,679,959
101.3603081703186,262,679,959
102.28658437728882,250,642,897
103.13218879699707,250,642,897
103.97782397270203,250,642,897
104.90334463119507,240,608,835
105.74880862236023,240,608,835
106.59446454048157,239,606,833
107.51894068717957,225,567,785
108.36447739601135,225,567,785
109.21017670631409,225,567,785
110.13450741767883,213,537,737
110.98008632659912,213,537,737
111.82579898834229,213,537,737
112.74891400337219,202,503,693
113.6723358631134,191,475,645
114.59528613090515,181,445,599
115.51751732826233,171,414,563
116.44036746025085,164,395,548
117.36336588859558,157,384,530
118.2854950428009,151,361,498
119.20804905891418,145,340,467
120.13043761253357,139,326,446
121.05287194252014,136,313,433
121.97466826438904,135,304,416
122.89642357826233,132,294,402
123.81765007972717,129,288,388
124.66326212882996,130,289,389
125.50898051261902,130,289,389
126.43002438545227,128,284,370
127.27558445930481,128,284,370
128.12130641937256,127,283,369
129.0418725013733,121,274,351
129.88756608963013,121,274,351
130.73291087150574,121,273,350
131.65332293510437,116,257,335
132.4990804195404,116,257,335
133.34459376335144,117,259,337
134.2646200656891,112,250,321
